"DomainDNS","ObjectDN","ObjectType","SamAccountName","IsProtectedByAdminSDHolder","Trustee","TrusteeShortName","AccessControlType","ActiveDirectoryRights","IsInherited","IsSafePrincipal","IsDangerousForProtectedObjects"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-554","S-1-5-32-554","Allow","ReadProperty","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-554","S-1-5-32-554","Allow","ReadProperty","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-554","S-1-5-32-554","Allow","ReadProperty","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-554","S-1-5-32-554","Allow","ReadProperty","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-554","S-1-5-32-554","Allow","ReadProperty","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-554","S-1-5-32-554","Allow","ReadProperty","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-554","S-1-5-32-554","Allow","ReadProperty","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-554","S-1-5-32-554","Allow","ReadProperty","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-560","S-1-5-32-560","Allow","ReadProperty","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-561","S-1-5-32-561","Allow","ReadProperty, WriteProperty","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-561","S-1-5-32-561","Allow","ReadProperty, WriteProperty","False","False","True"
"child.mathiasmotron.com","CN=Key Admins,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Key Admins","True","BUILTIN\Administrators","BUILTIN\Administrators","Allow","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","False","True","False"
